JobID|JobName|Partition|State|Elapsed|Start|End|AllocCPUS|ReqMem
20767098_0.extern|extern||COMPLETED|00:02:07|2025-11-28T09:24:51|2025-11-28T09:26:58|50|
20767102_0|cpu_sweep_trainDreamer.sh|amilan|COMPLETED|00:01:51|2025-11-28T09:29:10|2025-11-28T09:31:01|50|100G
20767102_0.batch|batch||COMPLETED|00:01:51|2025-11-28T09:29:10|2025-11-28T09:31:01|50|
20767102_0.extern|extern||COMPLETED|00:01:51|2025-11-28T09:29:10|2025-11-28T09:31:01|50|
20767103_0|cpu_sweep_reducedObs_trainDreamer.sh|amilan|COMPLETED|00:02:04|2025-11-28T09:29:19|2025-11-28T09:31:23|50|100G
20767103_0.batch|batch||COMPLETED|00:02:04|2025-11-28T09:29:19|2025-11-28T09:31:23|50|
20767103_0.extern|extern||COMPLETED|00:02:04|2025-11-28T09:29:19|2025-11-28T09:31:23|50|
20767131_0|cpu_sweep_trainDreamer.sh|amilan|COMPLETED|00:01:38|2025-11-28T09:45:39|2025-11-28T09:47:17|50|100G
20767131_0.batch|batch||COMPLETED|00:01:38|2025-11-28T09:45:39|2025-11-28T09:47:17|50|
20767131_0.extern|extern||COMPLETED|00:01:38|2025-11-28T09:45:39|2025-11-28T09:47:17|50|
20767132_0|cpu_sweep_reducedObs_trainDreamer.sh|amilan|COMPLETED|00:02:02|2025-11-28T09:45:41|2025-11-28T09:47:43|50|100G
20767132_0.batch|batch||COMPLETED|00:02:02|2025-11-28T09:45:41|2025-11-28T09:47:43|50|
20767132_0.extern|extern||COMPLETED|00:02:02|2025-11-28T09:45:41|2025-11-28T09:47:43|50|
20767439_0|cpu_sweep_reducedObs_trainDreamer.sh|amilan|COMPLETED|00:09:23|2025-11-28T09:48:39|2025-11-28T09:58:02|50|100G
20767439_0.batch|batch||COMPLETED|00:09:23|2025-11-28T09:48:39|2025-11-28T09:58:02|50|
20767439_0.extern|extern||COMPLETED|00:09:23|2025-11-28T09:48:39|2025-11-28T09:58:02|50|
21036617|sys/dashboard/sys/vs_code_server|ahub|TIMEOUT|12:00:15|2025-12-03T15:29:10|2025-12-04T03:29:25|1|3840M
21036617.batch|batch||CANCELLED|12:00:16|2025-12-03T15:29:10|2025-12-04T03:29:26|1|
21036617.extern|extern||COMPLETED|12:00:16|2025-12-03T15:29:10|2025-12-04T03:29:26|1|
21059043|sys/dashboard/sys/vs_code_server|ahub|TIMEOUT|12:00:15|2025-12-04T10:27:09|2025-12-04T22:27:24|1|3840M
21059043.batch|batch||CANCELLED|12:00:18|2025-12-04T10:27:09|2025-12-04T22:27:27|1|
21059043.extern|extern||COMPLETED|12:00:18|2025-12-04T10:27:09|2025-12-04T22:27:27|1|
21060393_0|cpu_sweep_trainDreamer.sh|amilan|COMPLETED|00:03:33|2025-12-04T15:30:30|2025-12-04T15:34:03|32|100G
21060393_0.batch|batch||COMPLETED|00:03:33|2025-12-04T15:30:30|2025-12-04T15:34:03|32|
21060393_0.extern|extern||COMPLETED|00:03:33|2025-12-04T15:30:30|2025-12-04T15:34:03|32|
21060589_0|cpu_reducedObs_trainDreamer.sh|amilan|COMPLETED|00:03:33|2025-12-04T15:30:30|2025-12-04T15:34:03|32|100G
21060589_0.batch|batch||COMPLETED|00:03:33|2025-12-04T15:30:30|2025-12-04T15:34:03|32|
21060589_0.extern|extern||COMPLETED|00:03:33|2025-12-04T15:30:30|2025-12-04T15:34:03|32|
21071212_0|ppo_shell.sh|amilan|COMPLETED|00:04:10|2025-12-04T19:31:19|2025-12-04T19:35:29|32|100G
21071212_0.batch|batch||COMPLETED|00:04:10|2025-12-04T19:31:19|2025-12-04T19:35:29|32|
21071212_0.extern|extern||COMPLETED|00:04:10|2025-12-04T19:31:19|2025-12-04T19:35:29|32|
21071720_0|ppo_shell.sh|amilan|COMPLETED|00:03:09|2025-12-04T19:32:20|2025-12-04T19:35:29|32|100G
21071720_0.batch|batch||COMPLETED|00:03:09|2025-12-04T19:32:20|2025-12-04T19:35:29|32|
